2023-06-19 14:18:05.908441:GPS_loading...,
2023-06-19 14:18:06.065526:(70814.12699148698, -171722.95352670143),
2023-06-19 14:18:06.251437:(70814.12692952706, -171722.9474177363),
2023-06-19 14:18:06.441179:(70814.10737986883, -171722.85837893782),
2023-06-19 14:18:06.649901:(70814.11839056722, -171722.8354951431),
2023-06-19 14:18:06.851570:(70814.11569751898, -171722.840336076),
2023-06-19 14:18:07.058408:(70814.1160148886, -171722.8445910582),
2023-06-19 14:18:07.260162:(70814.12142726906, -171722.83750087518),
2023-06-19 14:18:07.450351:(70814.12026290044, -171722.84436283403),
2023-06-19 14:18:07.653752:(70814.122326808, -171722.84508245563),
2023-06-19 14:18:07.859382:(70814.12936928276, -171722.83649462755),
2023-06-19 14:18:08.061846:(70814.13059749096, -171722.83592675225),
2023-06-19 14:18:08.252963:(70814.1304190575, -171722.84537066004),
2023-06-19 14:18:08.461081:(70814.13110640293, -171722.84554882755),
2023-06-19 14:18:08.646195:(70814.13643426055, -171722.84364339864),
2023-06-19 14:18:08.851368:(70814.14189733336, -171722.8415514599),
2023-06-19 14:18:09.060538:(70814.1419161091, -171722.84340266063),
2023-06-19 14:18:09.258575:(70814.14289078089, -171722.8448738873),
2023-06-19 14:18:09.453128:(70814.14490774913, -171722.8409655071),
2023-06-19 14:18:09.659692:(70814.1439499755, -171722.84116036276),
2023-06-19 14:18:09.848688:(70814.14127194782, -171722.84748225537),
2023-06-19 14:18:10.051652:(70814.14253770743, -171722.85061678226),
2023-06-19 14:18:10.257554:(70814.14628994613, -171722.8420623248),
2023-06-19 14:18:10.445907:(70814.14503357855, -171722.8398533969),
2023-06-19 14:18:10.648514:(70814.1229220284, -171722.89025037887),
2023-06-19 14:18:10.837330:(70814.13753848488, -171722.85788791638),
2023-06-19 14:18:11.058224:(70814.13569056011, -171722.85142678846),
2023-06-19 14:18:11.248585:(70814.13341818, -171722.85718914878),
2023-06-19 14:18:11.452846:(70814.13186697157, -171722.8529466811),
2023-06-19 14:18:11.655351:(70814.13264446834, -171722.848495456),
2023-06-19 14:18:11.844943:(70814.12994954459, -171722.85315126838),
2023-06-19 14:18:12.063464:(70814.12829879488, -171722.85261259292),
2023-06-19 14:18:12.255791:(70814.12986880897, -171722.8451911025),
2023-06-19 14:18:12.459694:(70814.12632691831, -171722.84744869638),
2023-06-19 14:18:12.649526:(70814.12577103499, -171722.84671377734),
2023-06-19 14:18:12.856186:(70814.12520764137, -171722.84523837842),
2023-06-19 14:18:13.064378:(70814.12452780831, -171722.84580069006),
2023-06-19 14:18:13.283620:(70814.12314561344, -171722.84470387446),
2023-06-19 14:18:13.459180:(70814.12176341441, -171722.84360705887),
2023-06-19 14:18:13.648782:(70814.11984974467, -171722.84418188574),
2023-06-19 14:18:13.852723:(70814.11931639012, -171722.84566840774),
2023-06-19 14:18:14.057207:(70814.1187323453, -171722.84215668758),
2023-06-19 14:18:14.276812:(70814.11941781105, -171722.84214973458),
2023-06-19 14:18:14.468468:(70814.11793607283, -171722.8447567126),
2023-06-19 14:18:14.653279:(70814.11737080164, -171722.8430961925),
2023-06-19 14:18:14.858675:(70814.11655575343, -171722.8438450161),
2023-06-19 14:18:15.058090:(70814.11707783834, -171722.8412477711),
2023-06-19 14:18:15.264265:(70814.11608251324, -171722.83774022246),
2023-06-19 14:18:15.451322:(70814.11783656149, -171722.83494534457),
2023-06-19 14:18:15.654731:(70814.11196032874, -171722.83685633718),
2023-06-19 14:18:15.858441:(70814.11469280602, -171722.83590292558),
2023-06-19 14:18:16.063509:(70814.11301201307, -171722.8324023292),
2023-06-19 14:18:16.252735:(70814.11073775747, -171722.83797957114),
2023-06-19 14:18:16.459529:(70814.11177254363, -171722.83185948295),
2023-06-19 14:18:16.647135:(70814.10943632606, -171722.83132776045),
2023-06-19 14:18:16.852352:(70814.11150211333, -171722.8322325047),
2023-06-19 14:18:17.056080:(70814.11107017973, -171722.83020035498),
2023-06-19 14:18:17.245865:(70814.10906822995, -171722.83558969424),
2023-06-19 14:18:17.452151:(70814.1107884819, -171722.82946265588),
2023-06-19 14:18:17.654756:(70814.11230964916, -171722.83074320052),
2023-06-19 14:18:17.854952:(70814.11247490758, -171722.83351861231),
2023-06-19 14:18:18.061237:(70814.11367682552, -171722.8303590564),
2023-06-19 14:18:18.265657:(70814.11327869035, -171722.83165906856),
2023-06-19 14:18:18.453721:(70814.1110532816, -171722.8285342733),
2023-06-19 14:18:18.658243:(70814.10819122399, -171722.83022955482),
2023-06-19 14:18:18.854678:(70814.10786821954, -171722.82541921182),
2023-06-19 14:18:19.057035:(70814.10567284985, -171722.8252563389),
